POS,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,Year ,,,,,,,,,,,
56,Ankit Rajpoot,5,5,14,107,4,26.75,7.64,21,0,0,2017,,,,,,,,,,,
57,Lockie Ferguson,4,4,13,93,3,31,7.15,26,0,0,2017,,,,,,,,,,,
58,Bipul Sharma,7,7,16,129,3,43,7.89,32.66,0,0,2017,,,,,,,,,,,
59,Tim Southee,3,3,10,96,3,32,9.6,20,0,0,2017,,,,,,,,,,,
60,Rahul Tewatia,3,3,9,49,3,16.33,5.44,18,0,0,2017,,,,,,,,,,,
61,Adam Milne,4,4,14,134,3,44.66,9.57,28,0,0,2017,,,,,,,,,,,
62,Harshal Patel,1,1,4,43,3,14.33,10.75,8,0,0,2017,,,,,,,,,,,
63,Corey Anderson,11,8,19,186,3,62,9.87,37.66,0,0,2017,,,,,,,,,,,
64,Dhawal Kulkarni,6,6,19,173,3,57.66,9.18,37.66,0,0,2017,,,,,,,,,,,
65,Iqbal Abdulla,2,2,5,55,2,27.5,11,15,0,0,2017,,,,,,,,,,,
66,Marcus Stoinis,5,5,10,110,2,55,10.47,31.5,0,0,2017,,,,,,,,,,,
67,Vinay Kumar,1,1,3,31,2,15.5,10.33,9,0,0,2017,,,,,,,,,,,
68,Ankit Soni,7,6,18,144,2,72,7.92,54.5,0,0,2017,,,,,,,,,,,
69,Mohammad Nabi,3,3,11,58,2,29,5.27,33,0,0,2017,,,,,,,,,,,
70,Dwayne Smith,12,9,13,148,2,74,11.38,39,0,0,2017,,,,,,,,,,,
71,Travis Head,7,5,8,81,2,40.5,10.12,24,0,0,2017,,,,,,,,,,,
72,T Natarajan,6,6,12,115,2,57.5,9.07,38,0,0,2017,,,,,,,,,,,
73,Rahul Chahar,3,2,7,58,2,29,8.28,21,0,0,2017,,,,,,,,,,,
74,Rajat Bhatia,3,3,7,55,2,27.5,7.85,21,0,0,2017,,,,,,,,,,,
75,Billy Stanlake,2,2,8,70,2,35,8.75,24,0,0,2017,,,,,,,,,,,
76,Deepak Hooda,10,3,4,42,2,21,10.5,12,0,0,2017,,,,,,,,,,,
77,Nathu Singh,2,2,4,15,1,15,3.75,24,0,0,2017,,,,,,,,,,,
78,Matt Henry,2,2,5,71,1,71,14.2,30,0,0,2017,,,,,,,,,,,
79,Yuvraj Singh,12,2,2,22,1,22,11,12,0,0,2017,,,,,,,,,,,
80,Yusuf Pathan,15,4,4,41,1,41,10.25,24,0,0,2017,,,,,,,,,,,
81,Carlos Brathwaite,2,2,6,67,1,67,11.16,36,0,0,2017,,,,,,,,,,,
82,Deepak Chahar,3,3,7,74,1,74,10.57,42,0,0,2017,,,,,,,,,,,
83,Ashok Dinda,3,3,10,119,1,119,11.9,60,0,0,2017,,,,,,,,,,,
84,Munaf Patel,2,2,7,57,1,57,8.14,42,0,0,2017,,,,,,,,,,,
85,Shubham Agarwal,1,1,4,42,1,42,10.5,24,0,0,2017,,,,,,,,,,,
86,Ben Cutting,4,4,12,123,1,123,9.71,76,0,0,2017,,,,,,,,,,,
87,Swapnil Singh,4,4,7,61,1,61,8.71,42,0,0,2017,,,,,,,,,,,
88,Suresh Raina,14,6,12,102,1,102,8.5,72,0,0,2017,,,,,,,,,,,
89,Avesh Khan,1,1,4,23,1,23,5.75,24,0,0,2017,,,,,,,,,,,
90,Moises Henriques,12,12,24,248,1,248,10.33,144,0,1,2017,,,,,,,,,,,
1,Andrew Tye,14,14,56,448,24,18.66,8,14,3,0,2018,,,,,,,,,,,
2,Siddarth Kaul,17,17,66,547,21,26.04,8.28,18.85,0,0,2018,,,,,,,,,,,
3,Rashid Khan,17,17,68,458,21,21.8,6.73,19.42,0,0,2018,,,,,,,,,,,
